2023-07-04; 15:09:07; 00:05:44; |Мюзлёвочный аппарат;| |Поломка аппарата;|
2023-07-04; 15:16:28; 00:07:20; |Мюзлёвочный аппарат;| |Поломка аппарата;|
2023-07-04; 15:30:30; 00:05:35; |Мюзлёвочный аппарат;| |Поломка аппарата;|
2023-07-05; 09:45:55; 00:04:46; Этикетировка; |Наполнение термотоннеля;|
2023-07-05; 07:45:03; 00:04:02; Этикетировка; |Замена контрэтикетки, этикетки, марки;|
2023-07-04; 16:34:00; 00:35:03; Триблок; Обед;
2023-07-05; 11:46:06; 00:03:55; Этикетировка; |Замена контрэтикетки, этикетки, марки;|
2023-07-05; 02:10:48; 00:07:14; |Капсуляторная машина;| Настройка;
2023-07-04; 18:31:00; 00:18:58; Триблок; |Ремонт наливного крана;|
2023-07-05; 15:01:30; 00:04:40; |Групповой считыватель;| |Замена рибона, коробочного стикера;|
2023-07-04; 18:57:03; 00:20:41; Триблок; |Переход по этикетке, в/м и бутылке с мойкой (4 ч);|
2023-07-05; 00:03:00; 00:37:34; Триблок; |Открытие партии суточное;|
2023-07-05; 14:02:03; 00:05:01; Триблок; |Замена контрэтикетки, этикетки, марки;|
2023-07-05; 10:34:57; 00:03:39; Этикетировка; |Замена контрэтикетки, этикетки, марки;|
2023-07-05; 01:20:41; 00:06:01; |Этикетировочная машина;| Настройка;
2023-07-05; 07:12:38; 00:05:56; Триблок; |Ремонт наливного крана;|
2023-07-04; 23:44:55; 00:17:04; Триблок; |Закрытие партии суточное;|
2023-07-05; 01:44:56; 00:06:35; |Мюзлёвочный аппарат;| Настройка;
2023-07-05; 13:18:39; 00:03:59; Триблок; |Замена контрэтикетки, этикетки, марки;|
2023-07-05; 04:40:48; 00:05:03; Триблок; |Ремонт наливного крана;|
2023-07-04; 23:15:19; 00:17:59; Термотоннель; |Наполнение термотоннеля;|
2023-07-05; 03:33:09; 00:04:17; Триблок; Настройка;
2023-07-04; 19:14:49; 04:00:14; Переналадка; |Переход по этикетке, в/м и бутылке с мойкой (4 ч);|
2023-07-05; 08:16:32; 00:16:35; Триблок; |Переход на новый акратофор,емкость;|
2023-07-05; 14:16:37; 00:10:11; Триблок; |Ремонт наливного крана;|
2023-07-05; 08:40:57; 00:06:53; Триблок; Настройка;
2023-07-05; 06:53:07; 00:04:06; |Мюзлёвочный аппарат;| Настройка;
2023-07-05; 05:46:05; 00:03:42; |Этикетировочная машина;| |Замена контрэтикетки, этикетки, марки;|
2023-07-05; 02:52:35; 00:09:50; |Этикетировочная машина;| |Порвалась к.этик, этикетка;|
2023-07-05; 11:59:25; 00:49:03; Триблок; Обед;
2023-07-05; 16:29:46; 00:03:13; Триблок; None;
2023-07-05; 17:31:42; 00:03:39; Этикетировка; |Замена контрэтикетки, этикетки, марки;|
2023-07-05; 16:34:00; 00:32:05; Триблок; Обед;
2023-07-05; 20:11:01; 00:03:59; Этикетировка; |Замена контрэтикетки, этикетки, марки;|
2023-07-05; 19:00:38; 00:04:56; Триблок; Настройка;
2023-07-05; 19:18:46; 00:04:02; |Групповой считыватель;| |Замена рибона, коробочного стикера;|
2023-07-05; 19:14:24; 00:03:53; |Этикетировочная машина;| |Замена контрэтикетки, этикетки, марки;|
2023-07-06; 03:55:32; 00:23:50; Триблок; Обед;
2023-07-05; 21:03:26; 00:05:20; |Мюзлёвочный аппарат;| Настройка;
2023-07-06; 06:13:33; 00:04:04; |Мюзлёвочный аппарат;| Настройка;
2023-07-06; 02:59:09; 00:03:57; Этикетировка; |Замена контрэтикетки, этикетки, марки;|
2023-07-05; 22:08:55; 00:03:43; |Этикетировочная машина;| |Замена контрэтикетки, этикетки, марки;|
2023-07-05; 22:12:40; 00:09:06; Триблок; |Ремонт наливного крана;|
2023-07-05; 23:06:06; 00:07:19; |Капсуляторная машина;| Настройка;
2023-07-05; 23:38:08; 00:23:50; Триблок; |Закрытие партии суточное;|
2023-07-06; 02:45:42; 00:05:36; Этикетировка; Настройка;
2023-07-06; 07:33:21; 00:29:36; ТО; None;
2023-07-06; 08:01:03; None; ТО; None;
2023-07-06; 11:14:41; None; None; None;
2023-07-06; 06:35:14; 00:05:18; Триблок; |Ремонт наливного крана;|
2023-07-07; 00:03:00; 00:32:16; Триблок; Обед;
2023-07-06; 01:49:38; 00:06:39; Триблок; Настройка;
2023-07-06; 06:46:35; 00:03:35; Триблок; |Ремонт наливного крана;|
2023-07-06; 16:31:03; 05:01:46; ТО; None;
2023-07-06; 03:03:07; 00:15:40; Триблок; |Переход на новый акратофор,емкость;|
2023-07-06; 01:13:03; 00:03:45; |Мюзлёвочный аппарат;| Настройка;
2023-07-06; 05:37:18; 00:12:25; |Триблок розлива;| Настройка;
2023-07-06; 01:04:58; 00:07:30; |Капсуляторная машина;| Настройка;
2023-07-06; 00:02:59; 00:38:20; Триблок; Обед;
2023-07-06; 21:40:44; 00:07:09; Триблок; |Ремонт наливного крана;|
2023-07-06; 05:07:31; 00:16:04; |Укладчик бутылок;| |Поломка аппарата;|
2023-07-07; 07:13:45; 00:11:59; |Этикетировочная машина;| Настройка;
2023-07-07; 05:40:49; 00:04:15; |Мюзлёвочный аппарат;| Настройка;
2023-07-07; 01:30:27; 00:11:30; Триблок; |Переход на новый акратофор,емкость;|
2023-07-06; 04:59:56; 00:04:20; |Капсуляторная машина;| Настройка;
2023-07-06; 06:00:34; 00:05:20; Триблок; |Ремонт наливного крана;|
2023-07-06; 04:25:47; 00:10:08; Триблок; Настройка;
2023-07-06; 07:14:52; 00:08:37; |Триблок розлива;| |Ремонт наливного крана;|
2023-07-06; 22:12:00; 00:05:25; Этикетировка; Настройка;
2023-07-07; 06:38:29; 00:04:31; |Капсуляторная машина;| Настройка;
2023-07-07; 06:48:48; 00:08:40; |Этикетировочная машина;| Настройка;
2023-07-07; 03:56:22; 00:36:28; Триблок; Обед;
2023-07-07; 05:51:28; 00:04:28; Триблок; |Ремонт наливного крана;|
2023-07-07; 02:29:20; 00:04:17; |Мюзлёвочный аппарат;| Настройка;
2023-07-06; 23:34:55; 00:27:02; Триблок; |Закрытие партии суточное;|
2023-07-07; 07:30:35; 00:32:23; |Этикетировочная машина;| Настройка;
2023-07-07; 09:28:40; 00:04:33; |Этикетировочная машина;| |Замена контрэтикетки, этикетки, марки;|
